16
14* die Februarii, 185ft
Adderley, Charles Bowyer
Arbuthnott, Hon. General
Baillie, Henry J. (InvernessrsL
Baring, Thomas (Huntingdon)
5Barrington, Viscount
Barrow William Hodgson
Bennet, Philip'
Bentinck,G.W.Pierrepont(Norf.
Blandford, Marquis of
lOBond, Joshua Walter M'Geough
Booth, Sir Robert Gore
Bramley -Moore, John
Bramston, Thomas William
Buck", Geo. Stucley (Barnstaple)
l.îButt, Geo. Medd (Weymouth)
Byng, Hn. Geo, Henry Charles
Cecil, Lord Robert
ChUd, Smith
Cholmondeley, Lord Henry
20Christy, Samuel
Clinton.LordC.Pelham (Sandw.)
Cole, Hon. Henry Arthur
Corry, Rt. Hon. Henry Lowry
Davies,Dav.A.Saunders (Carat.)
25Davies, John Lloyd (Cardigan)
Davison, Richard
Deedes, William
Dering, Sir Edward
Disraeli. Rt. Hon. Benjamin
3üDuncombe,Hn.Art.(York,E.R.)
Duncombe, Hn.Oet.(York, N. R.)
Dunne, Colonel (Portarlington)
Egerton, Edw. C. (Macclesfield)
Elliot, Hon. John Edmund
U.iEinlyn, Viscount
.. Evelyn, William John
Ferguson,SirRob.(Londonderry
Fergusson, Sir James (Ayr)
Filmer, Sir Edmund
40Fortescue, Chichester .Samuel
NOES.
French,Fitzetenhen
George, John
Greaves, Edward
Greenall, Gilbert
. 46Greene, John (Kilkenny Co.)
Greene, Thomas (Lancaster)
Grogan, Edward
Grosvenor, Earl (Chester City)
Guinness, Richard Samuel
SOGwyn, Howel
Hamilton, Geo. Alex. (DublinU.)
Harcourt, G. Granville (Oxford)
Headlara, Thomas Emerson
Henley, Rt. Hn. Joseph Warner
55Herbert, Sir Thos. (Dartmouth)
Holford, Robert Stayner
Horsfall, Thomas Berry
Hume, W. Fitzwilliam
Johnstone, Jas. (Clackmannan)
60Jones, Admiral (Londonderry)
Kerrison, Sir Edward Clarence
King, James King (Herefordsh.)
KnatchbuU, William Francis
Knox, Colonel (Marlow)
65Langton, Henry Gore (Bristol)
Laslett, William
Lennox, Lord Henry G. (Chich.
Liddell, Hon. Henry George
Macartney, George
70MacEvoy, Edward
MacGregor, James (Sandwich)
M'Mahon, Patrick
Maddock, Sir Herbert
Magan, William Henry
75Maguire, John Francis
Malins, Richard
Manners, Lord George (Camb.)
Manners, LordJohn (Colchester)
Meux, Sir Henry
80Miles, William
Micheli, William (Bodmin)
Moore, George Henry
Morgan, Octaváis   ??
85Mowbray, John Robert
MuUings, Joseph Randolph
Murrough, John Patrick   .
Naie, Lord
Napier,Rt.Hn.Josej>h( Dublini
9i)Pakington, Rt. Hon. Sir John
PaIk, Lawrence
Palmer, Robert (Berkshire)
Peacocke, Geo. Montagu Warn
-    Percy, -Hon. Joceline William
95Rep(on, George William John
Robertson, Patrick Francis
RoIt, Peter
Rust, James
Scott, Hon. Francis
lOOSeymer, Henry Ker (Dorset)
Shee, William
Sibthorp, Major
Smith, Abel (Herts)
Spooner, Richard
105Stafford,Augustus (North'tonX
Stewart,SirMich.R.S.(Renfrei
Stuart, Captain (Bedford)
Sullivan, Michael
Thesiger, Sir Frederic
1 IOTollemache, John
Tyler, Sir George
Vance, John
Vansittart, George Henry
Vernon, LeicesterViney(Chath
1) 5 Walcott, Admiral
Warreñ, Samuel
Whitmore, Henry
Willoughby, Sir Henry
Wise, John Ayshford
120Wynne,Wm.W.E. (Merioneth
Tellers for the Noes, Mr. Kennedy and Colonel Taylor.
