14*/fte Februarii, 1856
Adderley, Charles Bowyer
Arbuthnott, Hon. General
Baillie, Henry J. (Inverness-sh.)
Baring, Thomas (Huntingdon)
5Barrington, Viscount
Barrow, William Hodgson
Bennet, Philip
Bentinck,G.W.Pierrepont (Norf.
Blandford, Marquis of
I OBond, Joshua Walter M'Geough
Booth} Sir Robert Gore
Bramley-Moore, John
Bramatoli, Thomas William
Buck, Geo. Stucley (Barnstaple)
15Butt, Geo. Medd (Weymouth)
Byng, Hn. Geo. Henry Charles
Cecil, Lord Robert
Child, Smith
Cholmondeley, Lord Henry
20Chrkty, Samuel
Clinton, LordC. Pelham(Sandw.)
Cole, Hon. Henry Arthur
Corry, Rt. Hon. Henry Lowry
Davies,Dav.A.Saunders (Carm.)
25Davies, John Lloyd (Cardigan)
Davisón, Richard
Deedes, William
Dering, Sir Edward
Disraeli, Rt. Hon. Benjamin
30Duneombe,Hn. Art.(York,E.R.)
Duncombe,Hn.Oct.(York,N.R.)
Dunlop, Alexander Murray
Dunne, Colonel (Portarlington)
Egcrtonj Edw.'C. (Macclesfield)
3óEUiot, Hon. John Edmund
Emlyn, Viscount
Evelyn, William John
Ferguson,SirRob. (Londonderry
Fergusson,*Sir James (Ayr)
40Filmer, Sir Edmund
French^ Fitzstephen
NOES.
Greaves, Edward
Greenall, Gilbert
Greene, Thomas (Lancaster)
45Grogan, Edward
Grosvenor, Earl (Chester City)
Guinness, Richard Samuel
Gwyn, Howel
Hamilton, Geo. A. (Dublin Un.)
50Harcourt, G. Granville (Oxford)
Headlam, Thomas Emerson
Henley, Rt. Hn. Joseph Warner
Herbert, Sir. Thos. (Dartmouth)
Holford, Robert Stayner
55Horsfall, Thomas Berry
Hume, W. Fitzwilliam
Ingham, Robert
Johnstone, Jas. (Clackmannan)
Jones, Admiral (Londonderry)
60Kennedy, Tr;3trani
Kerrison, Sir Edward Clarence
King, James King(Herefordsh.)
KnatchbuU, William Francis
Knox, Colonel (Marlów)
65Langton, Henry Gore (Bristol)
Lennox, !Lord Henry G· (Chicli.)
Liddell, Hon. Henry George
Macartney, George
MacEvoy, Edward"
70MacGregor, James (Sandwich)
M'Mahon, Patrick
Maddock, Sir Herbert
Magán, William Henry
Maguire, John Francis
75 Malins, Richard
Manners, Lord George (Camb.)
Manners, Lord John(Colchester)
Meux, Sir Henry
Miles, William
80Michell, William (Bodmin)
Montgomery, Sir Graham (P'bles
'Moore, George Henry
Morgan, Octavius
Mowbray, John Robert
85Mullings, Joseph Randolph
Murrough, John Patrick
Naas, Lord.
Pakington, Rt. Hon. Sir John
PaIk, Lawrence
90Palmer, Robert (Berkshire)
Peacocke, Geo. Montagu Warren
Percy, Hon. Joceline William
Repton, George William John
Robertson, Patrick Francis
9óRolt, Peter
Rust, James
Scott, Hon. Francis
Seymer, Henry Ker (Dorset)
Shee, William
lOOSibthorp, Major
Smith, Abel (Herts)
Spooner, Richard
StaffordjAugustus (North'tonN.
Stewart, SirMich.R.S. ( Renfrew)
105Stuart, Captain (Bedford)
Sullivan, Michael
Taylor, Colonel
Thesiger, Sir Frederic
Tollémache, John
UOTyler, Sir George
Vance, John
Vansittart, George Henry
Vernon, LeicesterViney(Chath.)
Walçott, Atlmira]
115 Warner, Edward
Warren, Samuel
Whitmore, Henry
Willoughby, Sir Henry
Wise, John Ayshford
120Wortley, Rt. Hon. Jas. Stuart
Wynne,Wm.W.E. (Merioneth.)
Tellers for the Noes, Mr. Napier and Mr. George.
