104
Horsfall, Thomas Berry
Horsman, Ut. Hn. Edward
Hutt, William/
Ingham, Robert
. 95lngram, Herbert
Jermyn.Earl
Johnstone,. Jas. (Clackmannan)
JoUiffe,SirWm.G. Hylton ( Peters.
Jones, Admiral (Londonderry)
100Kendall,.Nicholas.
Ker, PiMd Stewart
Kcrrispn, Sir F-dward Clarence
Kingscotc, Rob. Nigel Fitzhard.
Kirki William
lOSKnight, Frederick Winn
Kniçhtley, Rainald
Knox, Colonel (Marlow)
labouchere, Rt. Hon. Henry
Langten, Henry Gore (Bristol)
llOLaslett, William
Legh,Geo.Cornwall(CheshireN.)
Lennox, Lord Alex. F. (Shoreh.)
Lennox, Lord Henry G. (Chich.
Lewis, Rt^.'Hn. Sir G. Cprnewall
11.5Liddell,Hon. Henry George
? Lockhart, WiUiam (Lanarksh.)
Lovaine, Lord
Lowe, Rt. Hon. Robert
M'Cann, James
l20MacGregor, Jaines (Sandwich)
Maguire, John Francis
Manners, LordJolm (Colchester)
Matheson, Sir James (Ross)
Maxwell, Hon. James Pierce
?'25'Milner, Sir Wm. MordauntEdw.
Mitchell, Thos. Alex. (Bridport)
l&die Aprilis?l856.
Moffatt, George
Monck, Viscount
Monsell, Rt. Hn. William
130Mohtgomery, Hugh L.(Leitrim)
Morgan, Ootavius
Mowbray, John-Robert
Mulgrave, Earl of
Naas, Lord
135Newark, Viscount
Newdegate, Charles Néwdigate
Noel, Hon. Gerard James
Norreys, Sir Denhaln Jephson
North, Frederick (Hastings)
T40Northcote, S'ir Stafford Henry
O'Brien, Patrick (King's Co.)'
O'Brien,.James (Limerick)
OUveira, Benjamin
Osborne, Ralph
<l45Palmer, Robert (Berkshire)
Peacoçke; Geo. Montagu Warren
Peel, Sir Robert (Tamworth)
Peel, Frederick (Bury)
Percy, Hon. Joceline William'
loOPollanf-Urquhart, W.
Ponsonby, Hn. Ashley G. John
Portal, Melville
Pritchard, John
Ramsdeiv, Sir John William
155Repton, George William John
Ricardo, Samson (NeSvWindsor)
Richardson, Jonathan Joseph
Ridley, George
Russell, Fr. C. Hastings (Beds)
160Russell, Francis W. (Limerick)
Rust, James
Sàwle, C. Brune Graves
Seymour, Henry Danby (Poole)
Shafto, Robert Duncombe
165Shirleyj Evelyn Philip
Sibthorp, Major
Smith,Rt. Hn. R. Vernon (N'ton
Spooner, Richard·
Stafford.Augustus (North'tonN)
170Stanhope, James Banks
Starkie, Le Gendre Nicholas
Steel, John
Stirling, William
Strácéy; Sir Henry Josias
175Strutt, Rt. Hon. Edward
Stewart,Sir Mich.R.S.( Renfrew)
Stuart, .Captain (Bedford)
Tariere«, Henry William
Tottenham, Charles
îeoTyler, Sir George
Vance, John
VfiUsittart, George Henry
Villiers, Rt. Hn. C. Pelhatn
Vivian, Henry Hussev (Truro)
185Walctftt. Admiral
Äalpole, Rt.Hn.Spencer Horatio
Wirren, Samuel
Waterpark, Lord
Watson, William Henry
190WeIIs, William
Whatman, James
Whitbread, Samuel
Whiteside, James
Wilson, James
195Winnington, SirThomas Edward
Wood, Rt. Hn. SirChas.( Halifax)
Woodd, Basil Thos. (Knaresbo.)
Wynne, Rt. Hn. John (Sligo)
Tellers for the Noes, Mr. Hayter and Mr". Grenville Berkeley <
