25' die Aprilis, 1856.
115
Somerset, Colonel
Somerville, Rt. Hn.SirW.Mered.
Stafford,Marq.of (Sutherland's.)
Stanley,Hn.Wm.Owen(Chester)
l70Starkie, Le Gendre Nicholas
Steel, John-
Stirling, William
Stracey, Sir Henry Josias
Strutt, Rt. Hon. Edward
175Stewart,SirMich.R.S. (Renfrew)
Stuart, Captain (Bedford)
Talbot, Christopher Rice M.
Taylor, Colonel
Thompson, George
180Thornely, Thomas
Tyler, Sir George
Vane, Lord Harry-
Vernon,GranvilleE. H. ( Newark)
Villiers, Rt .Hn. C. Pelham
185Vivian, Henry Hussey (Truro)
Warner, Edward
Waterpark, Lord
Watkins, ColoJael Lloyd
Watson, WUliam Henry
190Wickham, Henry Wickham
Wilkinson, WiUiam Arthur
WUson, James
Winnington,Sir ThorhasEdward
Wood.Rt.Hn.SirChas. (Halifax)
195Woodd, Basil Thos. (Knaresbo.)
Wrightson, William Battie
Wynne,Wm.W. E. (Merioneth.)
Wyvill, Marmaduke
TeUers for the Ayes, Mr. Hayter and the Earl of Mulgrave.
Adair, Colonel (Cambridge)
Adderley, Charles Bowyer
Bailey, Sir Joeeph (Breconshire)
Baird, James
5Baldock, Edward Holmes
BeU, James
Bennet, PhiUp
Blackburn, Peter
Blake, Martin J.
lOBramley-Moore; John
Buck, Colonel (Barnstaple)
Cecil, Lord Robert
ChUd, Smith
Christy, Samuel
15Cobbett, John Morgan
Crook, Joseph
Duncombe, Hn. Art.(York,E.R.)
Farnham, Edward Basil
FeUowes, Edward
20FUmer, Sir Edmund
Floyer, John
NOES.
Forster, Charles ( Walsall)
Galway, Viscount
Gardner, Richard
25Graham,LordM. Wm. (Granth.)
Granby, Marquis of
Greville, Colonel Fulke
Guinness, Richard Samuel
Hadfield, George
30Henley, Rt. Hn. Joseph Warner
Kelly, Sir FitzRoy
Kershaw, James
Langton,W.Gore (Somerset.W.)
LasceUes, Hon. Edwin
35Lennox,-Lord Henry Gt (Chich)
Lockhart, WUliam (Lanarksh.)
Macartney, George
M annera, Lord John(Colchester)
MicheU, William (Bodmin)
40Murrough,''Johri~Patrick
Napier, Sir Charles (Southwark)
Newdegate, Charles Newdigate
North, Colonel (Oxfordshire)
Packe, Charles WiUiam
45Pakington, Rt. Hon. Sir John
Pechell, Sir George Brooke
Pilkington, James
Repten, George. WiUiam John
Scholefield, William
50Scott, Hon. Francis
Sibthorp, Major
Smijth, Sir William (Essex)
Spooner, Richard
Stafford, Augustus (North'tonN)
55Thesiger, Sir Frederic
Vance, John
Vansittart, George Henry
Warren, Samuel
WeUs, William
60Whitmore, Henry
Wyndham, Gen. (Cockermouth)
TeUers for the Noes, Mr. Barrow and Mr. Knight;
2 N
