238
13e die Juan, 1856
Reed, Joseph Haythorne
Repten, George WiUiam John
Ricardo, Osman (Worcester)
Ridley, George
MORobartee, Thomas James Agar
Rushout, George
RusseU, Lord John (London)
Rust, James
.Sandars, George
l45Sawle, C. Brune Graves
Scully, Francis (Tipperory)
Seymour, IVm. Digby (HuU)
Shee, WUUam
Shirley, Evelyn PhiUp
I50Sibthorp, Major
Smith JöhnBenjamin(Stockport
Smith, Rt Hn.R.Vernon(N'ton)
Smith, Abel (Herts)
SmoUett, Alexander
lööSomerville, Rt. Hn.SirW.Mered.
Steel, John
Stewart,SirMich.R.S.(Renfrew)
Toncred, Henry.WUliam
Tempest, Lord AdolphutfVone
ieOThesiger, Sir Frederic
Thompson, George
Thornhill, William Pole.
Tottenham, Charles
TroUope, Rt. Hon. Sir John
165Tyler, Sir George
Tyrell, Sir John Tyssen
Vivian, Henry Hussey (Truro)
Walcott, Admiral
Wolmsley,.Sir Joshua
170Walpole,RtHn.Spencer HonUo
Walter, John
Watkins, Colonel Lloyd
Wells, WiUiam
West, Frederick Richara
175Wickhain, Henry Wickham
Wilkinson, William Arthur
Wilson, James
Wood, Rt. Hn.SirChas.(Halifax)
Woodd, Basil Thos. (Knaresbo.;
180Wynne,Wra.W.E. (Merioneth)
Wynne, Rt Hn. John (Sligo)
Wyvill, Mormoduke
Tellers for the Ayes, Mr. Hayter and the Earl of Mulgrave.
Anderson, Sir Jomes
Arbuthnott, Hon. General
Baird, James
Baring, Rt.Hn.SirF.T. (Portsm.)
5 Rennet, Philip
Bentinck.G.W.Pierrepont (Norf.
Blackburn, Peter
Braiuston, Thomas WiUiam
Buck, Colonel (Barnstaple)
lOButt, Geo. Medd (Weymouth)
Butt, Isaac (Youghol)
Cavendish, Hn. Geo. (Derbysh.)
Cayley, Edward Stillingfleet
Chelsea, Viscount
151'hristv. Samuel
Clive, Hon. R. Windsor
Conolly, Thomas
Davies, John Lloyd (Cardigan)
Deedes, William
2oDent, John Dent
DlsraeU, Rt Hon. Benjamin
Duckworth, Sir John T. B.
Puncen. George (Dundee)
Duncombe, Hn.Col.(York,N.R.)
25 Dunlop, Alexander Murray
Dunne, Colonel (Pórtarlington)
Egerton, Wm.Tatt(CheshireN.)
Egerton, Edw. C. (Macclesfield)
Elcho, Lord
Mt': I'rguson.Sir Rob. (Londonderry
Forster, John (Berwick)
Gallwey, Sir WiUiam Payne
NOES.
Galway, Viscount
Goderich, Viscount
35Grahom, Lord M.Wm. (Granth.)
Hastie, Alexander (Glasgow)
Henlèy, Rt. Hn. Joseph Warner
Herbert, Sir Thos. (Dartmouth)
Hindley, Charles
40Hutt, William
Jolliffe,SirWm.G.Hylton(Peters.
Jolliffe,HedworthHylton(Wells)
Jones, David (Carmarthen Co.)
Keating, Hen. Singer (Reading)
45Kennedy, Tristram
KnatchbuU, William Francis
Knightley, Rainald
Knox, Colonel (Marlow)
Längsten, James Houghton
50Lennox, Lord Henry G. (Chich.)
LesUe, Charles Powell
Liddell, Hon. Henry George
Lowther, Hon. Col. (Westmorl.)
Lushington, Charles Manners
55Macartney, George
MacEvoy, Edward
MacGregor, James (Sandwich)
Malins, Richard
Meagher, Thomas
60Miles, William
Milner, Sir Wm. Mordaunt Edw. -
Micheli, William (Bodmin)
Mowbray, John Robert
Murrough, John Patrick
66Naos, Lord
Napier, RtHn Joseph( Dublini).
North, Frederick (Hastings)
Ossulston, Lord
PaIk, Lawrence
70Pennant, Hon. Colonel
Philiimore, John George (Leon)
Powlett, Lord William
Pugh, David
Rice, Edward Royd
75Robertson, Patrick Francis
Scobell, Captain
Smith, Wm. Masters (Kent)
Spooner, Richard
Stafford,Augustus (North'tonNi
eoStrocey, Sir Henry Josias
Strutta Rt. Hon. Edward
Sutton', John Henry M.
Taylor, Colonel
Thornely, Thomas
85Tite, WUUam
Tomline, George
Vance, John
Vane, Lord Harry
Vernon,GranvilleE.H. (Newark)
90Waddington, Horry S. (Suffolk)
Walsh, Sir John B.
Whiteside, James
Whitmore,- Henry
WUUams, WilUam (Lambeth)
95Willoughby, Sir Henry
TeUers for the Noes, Mr. Ker Seymer and Mr. Hutchins.
