250
17* die Jmü, 1856.
Guinness, Richard Samuel
Gwyn, Howel
Hadfield, George
Hamilton, Lord Claud (Tyrone)
80HamUton,Geo. A. (DubünUniv.)
Hardinge, Hon. Charles Stewart
Hardy, Gathorne
Hastie, Alexander (Glasgow)
Hayter, Rt Hn. WiUiam G.
85Herbert,Sir Thos. (Dartmouth)
Heywood, James  .
Hill, Lord Arthur Edwin
Holford, Robert Stayner
Holland, Edward
90Horsman, Rt. Hon. Edward
Hume, W. FitzwiUiam
Ingham, Robert
Jolliffe,SirWm.G.HyIton(Peters.
Jolliffe,HedworthHylton(Wells)
95Jones, Admiral (Londonderry)
Kendall, Nicholas
Kershaw, James
Kinnaird, Hn.Arthur Fitzgerald
. Labouchere, Rt. Hon. Henry
lOOLacon, Sir Edmund
Leslie, Charles Powell
Lindsay, Hon. Colonel (Wigan)
Lockhart, WilUam (Lanarksh.)
Luce, Thomas
. 105Lushington, Charles Manners
.Macartney, George   '.
M'Cann, James
.'" MacGregor, James (Sandwich)
Malins, Richard
llOMarch, Earl of
Martin,Phil.Wykeham(Rochest.
Maxwell, Hon. Colonel
MUligoh, Robert
?   Micheli, WUUam (Bodmin)
11 öMontgomery, Hugh L.(Leitrim)
Montgomery, SirGraham. (P'bles
Moody, Charles Aaron »   ·
Morgan, Octaváis
Morris, David
120Mowbray, John Robert
MuUings, Joseph Randolph
Naas, Lord
Napier,Rt.Hn.Joseph(Dub.Un.)
Newark, Viscount
125Newdegate, Charles Newdigate
North, Frederick (Hastings)
Northcote, Sir Stafford Henry
O'Connell, Captain (Clonmel)
Pakenham, Thomas Henry
130Palmer, Robert (Berkshire)
Palmerston, Viscount
Peel. Sir Robert (Tamworth)
PUkington, James
Pollard-Urquhart, W.
135Price, Sir Robert (Hereford)
Ramsdeh, Sir John William
Ricardo, Samson (NewWindsor)
Ridley, George                ·.
Robertson, Patrick Francis
HORushout, George
'?'. Rust, James
Sawle, C. Brune Graves
Seymer, Henry Ker (Dorset)
Shirley, Evelyn PhUip'
l45Sibthorp,Major
Smith.Rt.Hn. R. Vernon (N'ton)
Smollett, Alexander
Spooner, Richard
StaffordjAugustus (North'ton.^
150Stanhope, James Banks
. Stanley, Lord (King's Lynn)
Stanley,Hn.Wm.Owen(Chestel
Starkie, Le Gendre Nicholas
Steel,; John
155Stracey, Sir Henry Josias
Stewart,SirMich.R.S.(Renfrfij
Stuart, Captain (Bedford^
Taylor, Colonel
Thesiger, Sir Frederic
ieOThompsoh, George
ThornhUl, WUUam Pole
Tite, WUliam
ToUemache, John
Vance, John   .
165Verner, Sir William
Vernon,Lei(iesterViney(CaatlL
Waddington, Harry S. (Suffolk
Walcott, Admiral
Wolmsley, Sir Joshua
170Warner, Edward
Warren, Samuel
WeUs, WiUiam
Whiteside, James
Whitmore, Henry
175Wickham, Henry Wickham
Wigram, Loftus Tottenham
WiUiams, Thos. Peers (Mario*
Wilson, James
Wood,Rt.Hn.SirChas.(Halifai
ieOWrightson, WUUam Battie
Wyndham, Gen.(Cockermoiá
Wynn,' Lieut. Colonel (Mont)
Wynne, Rt. Hn. John (Sligo
Tellers for the Noes, Mr. Walpole and Sir William Heathcote.
