m
W die Junii, 1856.
Addèrley,. Charles Bowyer
Alexander, John
Annesley, Earl of
Arbuthnott, Hon. General
ôBaUey, Crawshay (Monmouth)
Bailey, Henry J. (Inverness-sh.)
Baird, James
Barrington, Viscount .
Barrow WUliam Hodgson
lOBeresford, Rt Hon. WUUam
Blackburn, Peter
Blandford, Marquis of
Booth, Sir Robert Gore
Brnmley-Moore, John
1ôBramstongThomâs WiUiam
Brucé, MajorCumming (Elgin)
Bunbury,Wm.Bunb. M'Clintock
Burrowcs, Robert'(Cavan)
Butt, Geo.' Medd^yYeymouth)
SOCairns, Hugh M'Calmont
Corry, Rt Hon. Henry Lowry
Davison, Richard
Deedes. WUliam
De Vere, Stephen Edward
25Disraeli, Rt. Hon. Benjamin
Duckworth, Sir John T. B.
Dundas, George (Linlithgow)
Du Pre, C. George
Egerton, Wm.Tatt(CheshireN.)
30Egerton, Edw. C. (Macclesfield)
Euilyn, Viscount
Farrer, James
Fergusson, Sir James (Ayr)
Fitzgerald,Wm.R.S. (Horsham)
3SFloyer, John
Forster, Sir George (Monaghan)
Fuller, Augustus Eliott
NOES.
GaUwey, Sir WUliam Payne
Galway, Viscount
40Geórgè, John
GUpin, Colonel
Gladstone,Rt Hn.Wm.(Oxf.U.)
Gladstone, Captain (Devizes)
Goddard, Ambrose Lethbridge
45Gooch, Sir Edward Sherlock
Gordon, Hon. Arthur
Graham,Rt."Hn.SirJas. (Carlisle)
Guinness, Richard Samuel
Hamilton, Lord Claud (Tyrone)
50Hamilton.Rt.Hn.R.C.N.(Linc's)
Hardy, Gathorne
Heneage, G. H. Walker (Devi.)
Hervey. Lord Alfred
Hotham, Lord  "
55Hume,W. FitzwilUam
Knatchbull, William Francis
Knox, Hn. W. Stuart (Dungan.)
Lacon, Sir Edmund
Langton,W.Gore(Somersets.W.)
eOLasceUes, Hon. Edwin
Lennox, Lord Alex. F. (Shoreh.)
Liddell, Hon. Henry George
Lovaine, Lord
Lowther, Captain (Cumberland)
eSMacGregor, James (Sandwich)
Malins, Richard
Miles, WUliam
Montgomery, Hugh L.(Leitrim)
Montgomery ,SirGraham(P'bles.
70Mowbray, John Robert
Naas, Lord
Newark, Viscount
Newdegate, Charles Newdigate
Noel, Hon. Gerard James
75North, Colonel (Oxfordshire)
Pakington, Rt Hon. Sir Join
Palmer, Robert (Berkshire)
Patten, Colonel Wilson
Peel, General (Huntingdon)
80Philipps, John Henry
Philiimore, Rob. J. (Tavistocki
Portal, Melville
Powlett, Lord .William
Pugh, David
85Repton, George WiUiam John
Rushout, George
Sandars, George
Sawle, C. Brune Graves
Shirley, Evelyn Philip
90Sibthorp, Major
Smith, Wm..Masters (Kent)
Smith, Abel (Herts)
Somerset, Colonel
Spooner, Richard
95Stafford,Augustu8 (North'tonN)
Stracey, Sir Henry Josias
Stewart,SirMich.R.S. (Renfrew)
Tollemäche, John
TroUope, Rt. Hon. Sir John
100Vance, John
Verner, Sir William    ·
Walpole.RtHn.Spencer Horatio
Whitmore, Henry
WiUoughby, Sir Henry
105Woodd, BasU Thos. (Knaresbo.
Wyndham, Gen. (Cockermoutl
Wynne, Wm. W. E. (Merioneth.!
Wynne, Rt. Hn.'John'(SUgo)
Yorke, Hon. Eliot Thomas
Tellers for the Noes, Mr. Wigram and Sir William Heathcote.
