Fenwick, Heni-y
Fergus, John
Ferguson, Col. (Kirkaldy, &c.)
Ferguson, Sir Rob.(Londonderry
UOFergusson, Sir James (Ayr) .
FitzGerald, Sir John (Clare Co.)
Fitzgerald, John D. (Ennis)
FitzRoy, Rt. Hen. Henry
Ktzwilliam,Hn.C.W.W.(Malton
llöFitzwiUiam, Hn.G.W.(Peterbo.)
Follett, Brent Spencer
Forster, Charles (Walsall)
Forster, John (Berwick)
Fortescue, Chichester Samuel
120F0X, William Johnson
Freestun, Colonel
French, Colonel
Frewen, Charles Hay
Gallwey, Sir William Payne
125Gaskell, James Milnes
Gtfterd, Earl of
Gladstone, Captain (Devizes)
Goddard, Ambrose Lethbridge
Goderich, Viscount
130Gooch, Sir Edward Sherlock
Gordon, Hon. Arthur
Grace, Oliver Dowel John
Graham,Rt.Hn.SirJas. (Carlisle)
Green all, Gilbert
135Greene, John (Kilkenny Co.)
Gregson, Samuel
GrerifeU, Charles William
Greville, Colonel Fulke
Grey,Rt.Hon.Sir Geo. (Morpeth)
HOGrey, Ralph William (Liskeard)
Grosvenor, Eari (Chester City)
Gurney, John Henry
Hadfield, George
HaU.Rt. Hn.Sir Benj. (Maryleb.)
l4SHanbury,HnC.SpèncerBateman
Hankey, Thomson
Hanmer, Sir John
Hardy, Gathorne
Hastie, Alexander (Glasgow)
150Hastie, Archibald (Paisley)
-   Headiam, Thomas Emerson
Heard, John Isaac
Heneage, G. H. Walker (Devi.)
Heneage, Geo. Fieschi (Lincoln)
155Herbert, Henry Arthur (Kerry)
Herbert, Sir Thos. (Dartmouth)
Hervey, Lord Alfred
Heywood, James
Higgins, Colonel Ouseley
l60Hindley, Charles
Holland, Edward
Horsman, Rt. Hon. Edward
Howard.Hn. Chas.W.G.(Cumb.)
Howard,LordEdward (Arundel)
165Hughes,W.Bulkeley ( Carnarvon
Hughes, Henry Geo. (Longford)
Hutchins, Edward John
Hutt, WUUam
Ingham, Robert
170lngram, Herbert
Jackson, William
Johnstone, Sir John (Scnrboro')
Jolliffe,SirWm.G.Hylton(Peters.
Jones, Admiral (Londonderry)
175Keating, Robert (Waterford)
Kennedy, Tristram
Kershaw, James
Kingscote, Rob. Nigel Fitzhard.
Kinnaird, Hn. ArthurFitzgerald
180Kirk, William
Knatchbull, William Francis
Knox, Colonel (Marlow)
Labouchere, Rt. Hon. Henry
Langton.W. Gore (SomersetW.)
185Langten, Henry Gore (Bristol)
Lewis, Rt. Hn. Sir G. Cornewall
Lindsay ,Wm. Schaw(Tynem'th)
Littlctoji, Hn. Edward Richard
Locke, Joseph
190Lockhart, William (Lanarksh.)
Lowe, Rt. Hon. Robert
Luce, Thomas
Macartney, George
MacEvoy, Edward
l95M'Cann, James
Magan, William Henry
Maguire, John Francis
Malins, Richard
Mangles, Ross Donnelly
200Marjoribanks, Dudley Coutts
Marshall, William
Martin,Phil.Wykeham(Rochest.
Massey, William Nathaniel
Matheson, Sir James (Ross)
205Maxwell, Hon. Colonel
Meagher, Thomas
Milligan, Robert
Mills, Thomas
Milner, Sir Wm. Mordaunt Edw.
210Milnes, Richard Monckton
Milton, Viscount
Moffatt, George
Monck, Viscount
Moncreiff, James
215Monsell, Rt. Hn. William
Montgomery,SirGraham(P'bles.
Morgan, Octavius
Morris, David
Mowatt, Francis
220Mowbray, John Robert
Murrough, John Patrick
Napier, Sir Charles (Soutliwark)
Newark, Viscount
Noel, Hon. Gerard James
225Norreys, Sir Denham Jephson
North, Frederick (Hastings)
Ò'Briery Patrick (King's Co.)
O'Brien, Sir Timothy (CashelJ
O'Brien, James (Limerick)
230O'Connell, Capt Daniel (Tralee)
O'ConneU, Captain (Clonmel)
4 P
O'Flaherty, Anthony^^:^ '·*/
Oliveira, Benjamin-Vv '"'·', ,   .'
Osborne, Ralph    -^   »' ' ? ' *"*
235Paget, Lord Alfred (Liohfiôld)'"
Pakington, Rt. Hon. Sir John
Palmerston, Viscount
Parker, Robert Townley
Pechell, Sir George Brooke
240Peei, Sir Robert (Tamworth)
Peel, Frederick (Bury)
Peel, General (Huntingdon)
Phillimore,John George (Leom. )
Pigott, Francis
245PiIkington, James
Pinney. Colonel
Pollard-Urquhart, W.
Ponsonby, I In. Ashley Q..John
Portal, Melville
25qPprtriian, Hon. W. Hen. B.
Powlett, Lord William
Price, Sir Robert (Hereford)
Price, William Philip (Glo'stér)
Pritchard, John
255Ramsden, Sir John William.
Reptoir, George William John
Ricardo, Osman (Worcester)
Ricardo, Samson (NewWindsor)
Rice, Jidward Royd
260Richard.son, Jonathan Joseph
Ridley, George
Robartes, Thomas James Agar
Roebuck, John Arthur
Russell, Fr. C. Hastings (Beds)
265Russell, Francis W. (Limerick)
Rust, James
Sawle, C. Brune Graves
Scholefield, William
Scobell, Captain
270Seymer, Henry Ker (Dorset)
Seymour, Henry Danby (Poole)
Shee, William
Shelburne, Earl of
Shelley, Sir John Villiers
275Smijth, Sir William (Essex)
Smith,JohnBenjamin(Stockport
Smith, M. Tucker (Wycombe)
Smithy Rt.Hn. R. Vemon (N'ton)
Smyth, Colonel (York City)
280SmoIlett, Alexander
?Somerset, Colonel
Stafford, Augustus ( North'tonN.
Stanhope, James "Banks
Stanley, Lord (King's Lynn)
28 b S tanley, Hn. Wm.O wen(Chester)
Steel, John
Stracey, Sir Henry Josias
Strickland, Sir Geprge
Strutt, Rt. Hon. Edward
290Ste\vart,SirMich.R.S.(llenf/ew)
Stuart, Captain (Bedford)-
Sutton, John Henry M.
Swift, ¡Richard
Talbot, Christopher Rice M.
