Russell, ?' W. (Tyrone)
Rutherford, John
Samuel, Harry S. ( Limekouse)
. l75Sándys;Lieut-Gol.Thoe. Mylee
Savory, Sir Joseph
Seely, Charles Hilton
¡Sharpe, William Edward T.
Sidebottom.T. Harrop(Stalybr
ISOSideliottoin,William (Derbyeh.
Simeon, Sir Barrington
Smith, Abel H. (Cliristchurch)
Smith, Hon. W. F. D. (Strand)
Stanley, Lord (Lance )
1st May, 1896.
185Stanley, Henry M. (Lambeth)
Stephens, Henry Charles
Stewart, Sir Mark J.M'Taggart
Stirling-Maxwell, Sir John M.
Strutt, Hon. Charles Hedley
190TaIhOt,. Lord E (Chichester)
Thorbum, Walier
Thornton, Percy M.
T rit ton, Charles Ernest
lire, Alexander
195 Ward, Hon. Robert A. (Crewe)
Warkworth, Lord
Webster, R. G. (St. Paneras)
333
Webster.Sir R.E.( Uleof Wight
Whiteley, IL ( Ashton-under-L.
200 Whitmore, Charles Algernon
Wickham, William   ·
Williams, Colonel R. (Dorset)
Williame,JoeephPowell-(Birm.
WUson, John (Falkirk)
205Wilson-Todd, Wm. Hi (Yorks.
Wylie, Alexander
Wyndham-Quin, Major W. 11.
Wyvill, Marinaduke D'Arcy
Yerburgh, Robert Armstrong
Teller» for the Noes, Sir William Walrond and Mr. Anstruther.
